Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Nora Subschinski,Germany,24,159,57,F,06/05/1988,Diving,Women's 3m Springboard; Women's 10m Platform; Women's Synchronised 10m Platform,,,,
Noraseela Mohd Khalid,Malaysia,32,166,55,F,9/27/1979,Athletics,Women's 400m Hurdles,,,,
Norayr Bakhtamyan,Armenia,41,178,90,M,11/01/1970,Shooting,Men's 50m Pistol; Men's 10m Air Pistol,,,,
Norayr Vardanyan,Armenia,25,175,94,M,5/15/1987,Weightlifting,Men's 94kg,,,,
Norbert Hosnyanszky,Hungary,28,196,102,M,03/04/1984,Water Polo,Men's Water Polo,,,,
Norbert Madaras,Hungary,32,191,91,M,12/01/1979,Water Polo,Men's Water Polo,,,,
Norbert Trandafir,Romania,24,185,75,M,02/08/1988,Swimming,Men's 50m Freestyle; Men's 100m Freestyle,,,,
Norberto Murara Neto,Brazil,23,191,82,M,7/19/1989,Football,Men's Football,,,,
Nordine Oubaali,France,25,163,,M,08/04/1986,Boxing,Men's Fly (52kg),,,,
Norikatsu Saikawa,Japan,26,186,96,M,03/11/1986,Wrestling,Men's 96kg Greco-Roman,,,,
Norma Gonzalez,Colombia,29,175,58,F,08/11/1982,Athletics,Women's 200m; Women's 4 x 100m Relay,,,,
Norma Murabito,Italy,24,162,58,F,10/12/1987,Canoe Sprint,Women's Kayak Single (K1) 200m,,,,
Norman Brockl,Germany,25,183,90,M,8/22/1986,Canoe Sprint,Men's Kayak Four (K4) 1000m,,,,
Noshad Alamiyan,Islamic Republic of Iran,20,170,65,M,11/21/1991,Table Tennis,Men's Singles,,,,
Nothando Vilakazi,South Africa,23,155,55,F,10/28/1988,Football,Women's Football,,,,
Nour El Din Hassanein,Egypt,23,186,92,M,08/10/1988,Rowing,Men's Single Sculls,,,,
Nour Elafandi,Egypt,19,167,,F,01/10/1993,Synchronised Swimming,Women's Teams,,,,
Noura Elsayed,Egypt,25,175,65,F,6/18/1987,Athletics,Women's 800m,,,,
Noura Nasri,Tunisia,28,165,68,F,09/07/1983,Shooting,Women's 10m Air Pistol,,,,
Noureddine Amrabat,Morocco,25,178,81,M,3/31/1987,Football,Men's Football,,,,
Noureddine Hfaiedh,Tunisia,38,197,86,M,8/27/1973,Volleyball,Men's Volleyball,,,,
Nourhan Amer,Egypt,19,160,55,F,05/10/1993,Shooting,Women's 10m Air Rifle,,,,
Novak Djokovic,Serbia,25,188,82,M,5/22/1987,Tennis,Men's Singles; Men's Doubles,,,,
Novlene Williams-Mills,Jamaica,30,168,57,F,4/26/1982,Athletics,Women's 400m; Women's 4 x 400m Relay,,,,
Nozomi Nakano,Japan,26,173,60,F,07/03/1986,Fencing,Women's Individual Epee,,,,
Nufar Edelman,Israel,29,168,69,F,8/19/1982,Sailing,Women's Laser Radial,,,,
Nugzar Tatalashvili,Georgia,22,180,73,M,3/20/1990,Judo,Men's -73kg,,,,
Nuno Mendes,Portugal,28,174,70,M,05/10/1984,Rowing,Men's Lightweight Double Sculls,,,,
Nur Suryani Mohd Taibi,Malaysia,29,168,65,F,9/24/1982,Shooting,Women's 10m Air Rifle,,,,
Nur Tatar,Turkey,19,173,,F,8/16/1992,Taekwondo,Women's -67kg,,,,
Nurdan Karagoz,Turkey,25,150,47,F,1/25/1987,Weightlifting,Women's 48kg,,,,
Nuria Diosdado Garcia,Mexico,21,169,,F,8/22/1990,Synchronised Swimming,Women's Duets,,,,
Nuria Fernandez,Spain,35,170,54,F,8/16/1976,Athletics,Women's 1500m,,,,
Nuria Llagostera Vives,Spain,32,156,53,F,5/16/1980,Tennis,Women's Doubles,,,,
Nursahat Pazziyev,Turkmenistan,19,180,,M,10/20/1992,Boxing,Men's Middle (75kg),,,,
Nursultan Mamayev,Kazakhstan,19,185,,M,6/27/1993,Taekwondo,Men's -58kg,,,,
Nurul Syafiqah Hashim,Malaysia,18,170,55,F,01/01/1994,Archery,Women's Individual,,,,
Nuttapong Ketin,Thailand,19,177,72,M,9/24/1992,Swimming,Men's 200m Breaststroke; Men's 200m Individual Medley,,,,
Nyam-Ochir Sainjargal,Mongolia,26,174,73,M,7/20/1986,Judo,Men's -73kg,YES,,,1
Nzingha Prescod,United States of America,19,163,61,F,8/14/1992,Fencing,Women's Individual Foil; Women's Team Foil,,,,
Obinna Metu,Nigeria,24,189,76,M,07/12/1988,Athletics,Men's 100m,,,,
Octavio Alesi Gonzalez,Venezuela,25,175,75,M,11/10/1986,Swimming,Men's 4x100m Freestyle Relay,,,,
Odd Arne Brekne,Norway,27,,,M,09/01/1984,Shooting,Men's 50m Rifle Prone,,,,
Odette Ntahonvukiye,Burundi,18,,77,F,7/14/1994,Judo,Women's -78kg,,,,
Odile Ahouanwanou,Benin,21,178,71,F,01/05/1991,Athletics,Women's 100m Hurdles,,,,
Odinn Bjorn Thorsteinsson,Iceland,30,,,M,12/03/1981,Athletics,Men's Shot Put,,,,
Ofentse Mogawane,South Africa,30,188,69,M,2/20/1982,Athletics,Men's 4 x 400m Relay,,,,
Offiong Edem,Nigeria,25,,64,F,12/31/1986,Table Tennis,Women's Singles,,,,
Ogho-Oghene Egwero,Nigeria,23,152,64,M,11/26/1988,Athletics,Men's 100m,,,,
Oguzhan Tuzun,Turkey,29,187,121,M,10/20/1982,Shooting,Men's Trap,,,,
Oiana Blanco,Spain,29,154,48,F,5/13/1983,Judo,Women's -48kg,,,,
Okju Kim,Republic of Korea,24,164,57,F,2/20/1988,Hockey,Women's Hockey,,,,
Oksana Chusovitina,Germany,37,153,,F,6/19/1975,Gymnastics - Artistic,Women's Team; Women's Qualification,,,,
Oksana Hatamkhanova,Azerbaijan,22,161,51,F,6/29/1990,Swimming,Women's 100m Breaststroke,,,,
Ola Sesay,Sierra Leone,33,176,64,F,5/30/1979,Athletics,Women's Long Jump,,,,
Olaf Tufte,Norway,36,,,M,4/27/1976,Rowing,Men's Single Sculls,,,,
Olafur Stefansson,Iceland,39,197,95,M,07/03/1973,Handball,Men's Handball,,,,
Oldriska Maresova,Czech Republic,25,189,69,F,10/14/1986,Athletics,Women's High Jump,,,,
Ole Bischof,Germany,32,180,81,M,8/27/1979,Judo,Men's -81kg,YES,,1,
Ole Kristian Bryhn,Norway,23,,,M,05/01/1989,Shooting,Men's 50m Rifle 3 Positions,,,,
Ole Magnus Bakken,Norway,24,,,M,4/28/1988,Shooting,Men's 10m Air Rifle; Men's 50m Rifle Prone,,,,
Oleg Berdos,Republic of Moldova,25,175,68,M,06/09/1987,Cycling - Road,Men's Road Race,,,,
Oleg Lykov,Ukraine,39,202,105,M,08/01/1973,Rowing,Men's Eight,,,,
Oleg Stepko,Ukraine,18,160,,M,3/25/1994,Gymnastics - Artistic,Men's Team; Men's Qualification,,,,
Oleg Veretilo,Belarus,24,180,76,M,07/10/1988,Football,Men's Football,,,,
Oleg Verniaiev,Ukraine,18,161,,M,9/29/1993,Gymnastics - Artistic,Men's Individual All-Around; Men's Team; Men's Qualification,,,,
Olegk Motsalin,Greece,26,174,74,M,04/09/1986,Wrestling,Men's 74kg Freestyle,,,,
Oleh Omelchuk,Ukraine,29,170,75,M,06/07/1983,Shooting,Men's 50m Pistol; Men's 10m Air Pistol,,,,
Oleksandr Bondar,Ukraine,18,172,63,M,10/25/1993,Diving,Men's 10m Platform; Men's Synchronised 10m Platform,,,,
Oleksandr Didukh,Ukraine,30,190,82,M,02/12/1982,Table Tennis,Men's Singles,,,,
Oleksandr Dryhol,Ukraine,46,183,104,M,4/25/1966,Athletics,Men's Hammer Throw,,,,
Oleksandr Gorshkovozov,Ukraine,21,170,66,M,7/18/1991,Diving,Men's Synchronised 10m Platform,,,,
Oleksandr Gvozdyk,Ukraine,25,190,,M,4/15/1987,Boxing,Men's Light Heavy (81kg),,,,
Oleksandr Isakov,Ukraine,22,184,73,M,10/17/1989,Swimming,Men's 100m Backstroke; Men's 200m Backstroke,,,,
Oleksandr Khotsianivskyi,Ukraine,22,191,110,M,7/20/1990,Wrestling,Men's 120kg Freestyle,,,,
Oleksandr Konovaliuk,Ukraine,34,160,53,M,05/01/1978,Rowing,Men's Eight,,,,
Oleksandr Pyatnytsya,Ukraine,27,186,90,M,7/14/1985,Athletics,Men's Javelin Throw,,,,
Oleksandr Sitkovskyy,Ukraine,34,184,68,M,06/09/1978,Athletics,Men's Marathon,,,,
Oleksandr Usyk,Ukraine,25,190,,M,1/17/1987,Boxing,Men's Heavy (91kg),,,,
Oleksiy Borysov,Ukraine,29,190,96,M,06/01/1983,Sailing,Men's Finn,,,,
Oleksiy Kasyanov,Ukraine,26,191,87,M,8/26/1985,Athletics,Men's Decathlon,,,,
Oleksiy Kazanin,Ukraine,30,172,65,M,5/22/1982,Athletics,Men's 50km Race Walk,,,,
Oleksiy Prygorov,Ukraine,25,181,74,M,6/25/1987,Diving,Men's 3m Springboard; Men's Synchronised 3m Springboard,,,,
Oleksiy Torokhtiy,Ukraine,26,181,104,M,22/05/1986,Weightlifting,Men's 105kg,YES,1,,
Olena Burkovska,Ukraine,30,158,50,F,08/09/1981,Athletics,Women's Marathon,,,,
Olena Buryak,Ukraine,24,194,88,F,02/08/1988,Rowing,Women's Double Sculls,,,,
Olena Dmytrash,Ukraine,20,170,,F,12/01/1991,Gymnastics - Rhythmic,Group All-Around,,,,
Olena Fedorova,Ukraine,25,164,57,F,11/14/1986,Diving,Women's 3m Springboard; Women's Synchronised 3m Springboard,,,,
Olena Holosha,Ukraine,30,186,60,F,1/26/1982,Athletics,Women's High Jump,,,,
Olena Kostevych,Ukraine,27,162,54,F,4/14/1985,Shooting,Women's 10m Air Pistol; Women's 25m Pistol,YES,,,2
Olena Kryvytska,Ukraine,25,173,59,F,2/23/1987,Fencing,Women's Individual Epee; Women's Team Epee,,,,
Olena Shumkina,Ukraine,24,160,48,F,1/24/1988,Athletics,Women's 20km Race Walk,,,,
Olena Tsyos,Ukraine,22,166,60,F,05/09/1990,Cycling - Track,Women's Team Sprint,,,,
Olesea Cojuhari,Republic of Moldova,22,170,58,F,3/29/1990,Athletics,Women's 400m,,,,
Olesya Povh,Ukraine,24,169,63,F,10/18/1987,Athletics,Women's 100m; Women's 4 x 100m Relay,,,,
Olexiy Sokyrskiyy,Ukraine,27,185,108,M,3/16/1985,Athletics,Men's Hammer Throw,,,,
Olga A. Leleyko,Ukraine,35,178,68,F,7/21/1977,Fencing,Women's Individual Foil,,,,
Olga Arteshina,Russian Federation,29,190,77,F,11/27/1982,Basketball,Women's Basketball,,,,
Olga Beliaeva,Russian Federation,27,173,64,F,3/18/1985,Water Polo,Women's Water Polo,,,,
Olga Belkina,Russian Federation,21,173,58,F,8/23/1990,Athletics,Women's 100m; Women's 4 x 100m Relay,,,,
Olga Belova,Russian Federation,18,167,50,F,8/27/1993,Water Polo,Women's Water Polo,,,,
Olga Beresnyeva,Ukraine,26,174,72,F,10/12/1985,Swimming,Women's 10km Marathon,,,,
Olga Bludova,Kazakhstan,20,172,58,F,11/05/1991,Athletics,Women's 100m,,,,
Olga Butkevych,Great Britain,26,160,55,F,01/03/1986,Wrestling,Women's 55kg Freestyle,,,,
Olga Chernoivanenko,Russian Federation,23,176,70,F,4/17/1989,Handball,Women's Handball,,,,
Olga Dovgun,Kazakhstan,41,165,56,F,09/01/1970,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Olga Dubovskaya,Belarus,28,170,52,F,10/09/1983,Athletics,Women's Marathon,,,,
Olga Golovkina,Russian Federation,25,170,50,F,12/17/1986,Athletics,Women's 5000m,,,,
Olga Kaniskina,Russian Federation,27,159,43,F,1/19/1985,Athletics,Women's 20km Race Walk,,,,
Olga Kharlan,Ukraine,21,171,68,F,09/04/1990,Fencing,Women's Individual Sabre,YES,,,1
Olga Kurban,Russian Federation,24,173,63,F,12/16/1987,Athletics,Women's Heptathlon,,,,
Olga Levina,Russian Federation,27,178,70,F,03/04/1985,Handball,Women's Handball,,,,
Olga Panarina,Belarus,26,176,75,F,9/16/1985,Cycling - Track,Women's Sprint; Women's Keirin,,,,
Olga Rypakova,Kazakhstan,27,183,62,F,11/30/1984,Athletics,Women's Triple Jump,YES,1,,
Olga Zabelinskaya,Russian Federation,32,175,61,F,05/10/1980,Cycling - Road,Women's Individual Time Trial; Women's Road Race,YES,,,2
Olha Iakovenko,Ukraine,25,159,46,F,06/01/1987,Athletics,Women's 20km Race Walk,,,,
Olha Maslivets,Ukraine,34,170,70,F,6/23/1978,Sailing,Women's RS-X,,,,
Olha Saladuha,Ukraine,29,176,58,F,06/04/1983,Athletics,Women's Triple Jump,YES,,,1
Olha Skrypak,Ukraine,21,160,43,F,12/02/1990,Athletics,Women's 10;000m,,,,
Olha Zemlyak,Ukraine,22,165,55,F,1/16/1990,Athletics,Women's 4 x 400m Relay,,,,
Olia Burtaev,Australia,17,170,,F,6/18/1995,Synchronised Swimming,Women's Teams,,,,
Oliba Seledina Nieve Arroyo,Ecuador,34,168,90,F,11/25/1977,Weightlifting,Women's +75kg,,,,
Olive Loughnane,Ireland,36,168,53,F,1/14/1976,Athletics,Women's 20km Race Walk,,,,
Oliver Buff,Switzerland,20,176,68,M,08/03/1992,Football,Men's Football,,,,
Oliver Korn,Germany,28,181,77,M,06/10/1984,Hockey,Men's Hockey,,,,
Olivera Jevtic,Serbia,35,174,51,F,7/24/1977,Athletics,Women's Marathon,,,,
Olivera Moldovan,Serbia,23,158,67,F,03/01/1989,Canoe Sprint,Women's Kayak Double (K2) 500m,,,,
Olivia Federici,Great Britain,22,168,,F,2/13/1990,Synchronised Swimming,Women's Duets; Women's Teams,,,,
Olivia Powrie,New Zealand,24,173,70,F,12/09/1987,Sailing,Women's 470,,,,
Olivia Price,Australia,20,164,68,F,08/02/1992,Sailing,Women's Elliott 6m,,,,
Olivia Whitlam,Great Britain,26,185,73,F,9/16/1985,Rowing,Women's Eight,,,,
Olivier Cauwenbergh,Belgium,25,171,70,M,3/15/1987,Canoe Sprint,Men's Kayak Double (K2) 1000m; Men's Kayak Double (K2) 200m,,,,
Olivier Guillon,France,40,182,75,M,5/22/1972,Equestrian,Individual Jumping; Team Jumping; LORD DE THEIZE,,,,
Olivier Irabaruta,Burundi,21,171,61,M,8/25/1990,Athletics,Men's 5000m,,,,
Olivier Siegelaar,Netherlands,25,197,100,M,10/24/1986,Rowing,Men's Eight,,,,
Oludamola Osayomi,Nigeria,26,158,54,F,6/26/1986,Athletics,Women's 100m; Women's 4 x 100m Relay,,,,
Olufunke Oshonaike,Nigeria,36,,63,F,10/28/1975,Table Tennis,Women's Singles,,,,
Oluseyi Smith,Canada,25,190,95,M,2/21/1987,Athletics,Men's 4 x 100m Relay,,,,
Oluwadamilola Bakare,Great Britain,23,197,93,M,9/22/1988,Volleyball,Men's Volleyball,,,,
Oluwasegun Makinde,Canada,21,179,84,M,07/06/1991,Athletics,Men's 4 x 100m Relay,,,,
Om Prakash Singh,India,25,,,M,01/11/1987,Athletics,Men's Shot Put,,,,
Omar Abdulrahman Al Amoudi,United Arab Emirates,20,168,62,M,9/20/1991,Football,Men's Football,,,,
Omar Ahmed El Ghazaly,Egypt,28,199,125,M,02/09/1984,Athletics,Men's Discus Throw,,,,
Omar Assar,Egypt,21,194,92,M,7/22/1991,Table Tennis,Men's Singles; Men's Team,,,,
Omar Cisneros,Cuba,22,,,M,11/19/1989,Athletics,Men's 400m Hurdles; Men's 4 x 400m Relay,,,,
Omar El Kaddouri,Morocco,21,187,82,M,8/21/1990,Football,Men's Football,,,,
Omar Emira,Egypt,35,174,73,M,6/24/1977,Rowing,Men's Lightweight Double Sculls,,,,
Omar Gaber,Egypt,20,173,64,M,1/30/1992,Football,Men's Football,,,,
Omar Hasannen,Syrian Arab Republic,33,178,75,M,11/09/1978,Cycling - Road,Men's Road Race,,,,
Omar Longart,Venezuela,21,172,69,M,5/18/1991,Athletics,Men's 4 x 400m Relay,,,,
Omar Simmonds Pea,Panama,30,175,80,M,8/15/1981,Judo,Men's -81kg,,,,
Omar Zepeda,Mexico,35,177,68,M,06/08/1977,Athletics,Men's 50km Race Walk,,,,
Omid Haji Noroozi,Islamic Republic of Iran,26,174,60,M,2/18/1986,Wrestling,Men's 60kg Greco-Roman,YES,1,,
Omolara Omotosho,Nigeria,19,152,50,F,5/25/1993,Athletics,Women's 400m; Women's 4 x 400m Relay,,,,
On A Kim,Republic of Korea,23,169,60,F,09/06/1988,Handball,Women's Handball,,,,
Ona Carbonell Ballestero,Spain,22,174,,F,06/05/1990,Synchronised Swimming,Women's Duets; Women's Teams,YES,,0.5,
Ona Meseguer Flaque,Spain,24,167,62,F,2/20/1988,Water Polo,Women's Water Polo,YES,,0.076,
Onan Barreiros,Spain,30,177,66,M,11/03/1981,Sailing,Men's 470,,,,
Ondrej Cink,Czech Republic,21,178,67,M,12/07/1990,Cycling - Mountain Bike,Men's Cross-country,,,,
Ondrej Polivka,Czech Republic,24,186,80,M,3/17/1988,Modern Pentathlon,Men's Modern Pentathlon,,,,
Ondrej Stepanek,Czech Republic,32,171,77,M,11/28/1979,Canoe Slalom,Men's Canoe Double (C2),,,,
Ondrej Synek,Czech Republic,29,199,93,M,10/13/1982,Rowing,Men's Single Sculls,YES,,1,
Ondrej Vetesnik,Czech Republic,28,182,73,M,03/05/1984,Rowing,Men's Lightweight Four,,,,
Onix Cortes Aldama,Cuba,23,,69,F,12/12/1988,Judo,Women's -70kg,,,,
Ons Jabeur,Tunisia,17,167,66,F,8/28/1994,Tennis,Women's Singles,,,,
Ophelie Aspord,France,21,174,62,F,5/21/1991,Swimming,Women's 10km Marathon,,,,
Ophelie Meilleroux,France,28,164,62,F,1/18/1984,Football,Women's Football,,,,
Ophelie-Cyrielle Etienne,France,21,176,62,F,09/09/1990,Swimming,Women's 200m Freestyle; Women's 4x200m Freestyle Relay,YES,,,0.25
Orestes Rodriguez,Cuba,23,,,M,06/03/1989,Athletics,Men's 4 x 400m Relay,,,,
Oreydi Despaigne,Cuba,30,,99,M,9/20/1981,Judo,Men's -100kg,,,,
Orianica Velasquez,Colombia,23,170,65,F,08/01/1989,Football,Women's Football,,,,
Oribe Peralta,Mexico,28,182,80,M,01/12/1984,Football,Men's Football,,,,
Oriol Romeu,Spain,20,183,89,M,9/24/1991,Football,Men's Football,,,,
Orlando Ortega,Cuba,21,,,M,7/29/1991,Athletics,Men's 110m Hurdles,,,,
Orlin Peralta,Honduras,22,170,70,M,02/12/1990,Football,Men's Football,,,,
Orsolya Takacs,Hungary,27,190,83,F,5/20/1985,Water Polo,Women's Water Polo,,,,
Oscar Albeiro Figueroa Mosquera,Colombia,29,165,62,M,4/27/1983,Weightlifting,Men's 62kg,YES,,1,
Oscar Brayson,Cuba,27,,108,M,02/10/1985,Judo,Men's +100kg,,,,
Oscar Dos Santos Emboaba Junior,Brazil,20,180,66,M,09/09/1991,Football,Men's Football,,,,
Oscar Molina Casillas,Mexico,22,175,,M,01/02/1990,Boxing,Men's Welter (69kg),,,,
Oscar Munoz Oviedo,Colombia,19,178,,M,05/09/1993,Taekwondo,Men's -58kg,YES,,,1
Oscar Pistorius,South Africa,25,181,77,M,11/22/1986,Athletics,Men's 400m; Men's 4 x 400m Relay,,,,
Oscar Soto,Mexico,29,178,72,M,06/09/1983,Modern Pentathlon,Men's Modern Pentathlon,,,,
Oscar Valdez Fierro,Mexico,21,167,,M,12/22/1990,Boxing,Men's Bantam (56kg),,,,
Oskar Deecke,Germany,26,183,78,M,5/16/1986,Hockey,Men's Hockey,,,,
Oskar Krupecki,Poland,20,178,78,M,07/06/1992,Swimming,Men's 4x100m Medley Relay,,,,
Osman Murillo Segura,Costa Rica,26,176,73,M,9/18/1985,Judo,Men's -73kg,,,,
Osmar Bravo Amador,Nicaragua,27,180,,M,11/01/1984,Boxing,Men's Light Heavy (81kg),,,,
Oteng Oteng,Botswana,22,,,M,01/09/1990,Boxing,Men's Fly (52kg),,,,
Otgonbayar Luvsanlundeg,Mongolia,30,152,44,F,7/13/1982,Athletics,Women's Marathon,,,,
Otgontsetseg Davaasukh,Mongolia,21,155,48,F,9/26/1990,Wrestling,Women's 48kg Freestyle,,,,
Otylia Jedrzejczak,Poland,28,187,73,F,12/13/1983,Swimming,Women's 100m Butterfly; Women's 200m Butterfly,,,,
Ou Liu,People's Republic of China,25,172,,F,11/13/1986,Synchronised Swimming,Women's Duets; Women's Teams,YES,,,0.5
Oumar Kone,Mali,27,,99,M,02/11/1985,Judo,Men's -100kg,,,,
Ousmane Mane,Senegal,21,187,78,M,10/01/1990,Football,Men's Football,,,,
Oussama Boughanmi,Tunisia,22,185,83,M,02/05/1990,Handball,Men's Handball,,,,
Oussama Mellouli,Tunisia,28,192,84,M,2/16/1984,Swimming,Men's 1500m Freestyle; Men's 10km Marathon,YES,1,,1
Ovidiu Buidoso,Romania,25,177,,M,7/13/1987,Gymnastics - Artistic,Men's Team; Men's Qualification,,,,
Oyungerel Gantumur,Mongolia,20,165,54,F,5/19/1992,Swimming,Women's 100m Breaststroke,,,,
Ozge Akin-Gurler,Turkey,27,,,F,6/17/1985,Athletics,Women's 4 x 400m Relay,,,,
Ozge Kirdar Cemberci,Turkey,27,183,68,F,6/26/1985,Volleyball,Women's Volleyball,,,,
Ozlem Kaya,Turkey,22,,,F,4/20/1990,Athletics,Women's 3000m Steeplechase,,,,
Pablo Abian,Spain,27,177,78,M,06/12/1985,Badminton,Men's Singles,,,,
Pablo Aitor Bernal Rosique,Spain,25,189,83,M,8/25/1986,Cycling - Track,Men's Team Pursuit,,,,
Pablo Carrera,Spain,26,182,106,M,08/02/1986,Shooting,Men's 50m Pistol; Men's 10m Air Pistol,,,,
Pablo Crer,Argentina,23,203,80,M,06/12/1989,Volleyball,Men's Volleyball,,,,
Pablo Enrique Shorey Hernandez,Cuba,28,,,M,12/04/1983,Wrestling,Men's 84kg Greco-Roman,,,,
Pablo Herrera Allepuz,Spain,30,193,88,M,6/29/1982,Beach Volleyball,Men's Beach Volleyball,,,,
Pablo Prigioni,Argentina,35,190,82,M,5/17/1977,Basketball,Men's Basketball,,,,
Pablo Sebastian Portela,Argentina,32,190,98,M,6/21/1980,Handball,Men's Handball,,,,
Paddy Barnes,Ireland,25,162,,M,04/09/1987,Boxing,Men's Light Fly (49kg),YES,,,1
Paige Mcpherson,United States of America,21,173,,F,10/01/1990,Taekwondo,Women's -67kg,,,,
Paige Selenski,United States of America,22,170,64,F,6/30/1990,Hockey,Women's Hockey,,,,
Pajtim Kasami,Switzerland,20,171,85,M,06/02/1992,Football,Men's Football,,,,
Pal Joensen,Denmark,21,181,75,M,12/10/1990,Swimming,Men's 400m Freestyle; Men's 1500m Freestyle; Men's 4x200m Freestyle Relay,,,,
Paloma Schmidt,Peru,25,165,64,F,1/24/1987,Sailing,Women's Laser Radial,,,,
Pamela Benitez,El Salvador,21,165,57,F,05/09/1991,Swimming,Women's 800m Freestyle,,,,
Pamela Fischer,Switzerland,24,158,,F,04/07/1988,Synchronised Swimming,Women's Duets,,,,
Pamela Jelimo,Kenya,22,170,56,F,12/05/1989,Athletics,Women's 800m,,,,
Pamella Oliveira,Brazil,24,165,59,F,10/07/1987,Triathlon,Women's Triathlon,,,,
Panagiota Andreou,Cyprus,16,162,55,F,11/10/1995,Shooting,Women's Skeet,,,,
Panagiotis Gionis,Greece,32,187,82,M,01/07/1980,Table Tennis,Men's Singles,,,,
Panagiotis KAMPOURIDIS,Greece,29,181,65,M,3/17/1983,Sailing,Men's 470,,,,
Panagiotis Magdanis,Greece,21,175,71,M,11/29/1990,Rowing,Men's Lightweight Double Sculls,,,,
Panagiotis Samilidis,Greece,18,181,88,M,08/09/1993,Swimming,Men's 100m Breaststroke; Men's 200m Breaststroke,,,,
Pandelela Rinong Pamg,Malaysia,19,159,52,F,03/02/1993,Diving,Women's 10m Platform; Women's Synchronised 3m Springboard; Women's Synchronised 10m Platform,YES,,,1
Panida Khamsri,Thailand,23,148,47,F,1/13/1989,Weightlifting,Women's 48kg,,,,
Paola Andrea Munoz Grandon,Chile,26,164,54,F,4/13/1986,Cycling - Road,Women's Road Race,,,,
Paola Croce,Italy,34,167,52,F,03/06/1978,Volleyball,Women's Volleyball,,,,
Paola Espinosa Sanchez,Mexico,26,156,48,F,7/31/1986,Diving,Women's 10m Platform; Women's Synchronised 10m Platform,YES,,0.5,
Paola Perez,Ecuador,22,148,45,F,12/21/1989,Athletics,Women's 20km Race Walk,,,,
Paola Suarez,Argentina,36,170,62,F,6/23/1976,Tennis,Women's Doubles,,,,
Paolo Cesar Montoya Cantillo,Costa Rica,27,186,71,M,6/15/1985,Cycling - Mountain Bike,Men's Cross-country,,,,
Paolo Nicolai,Italy,23,203,91,M,08/06/1988,Beach Volleyball,Men's Beach Volleyball,,,,
Paolo Ottavi,Italy,26,170,,M,01/07/1986,Gymnastics - Artistic,Men's Individual All-Around; Men's Team; Men's Qualification,,,,
Paolo Pizzo,Italy,29,181,85,M,04/04/1983,Fencing,Men's Individual Epee,,,,
Papa Camara,Senegal,19,196,70,M,1/16/1993,Football,Men's Football,,,,
Papa Gueye,Senegal,28,192,84,M,06/07/1984,Football,Men's Football,,,,
Pape Souare,Senegal,22,178,68,M,06/06/1990,Football,Men's Football,,,,
Par Gerell,Sweden,30,174,69,M,6/23/1982,Table Tennis,Men's Singles; Men's Team,,,,
Paris A. Inostroza Budinich,Chile,39,183,90,M,9/22/1972,Fencing,Men's Individual Epee,,,,
Pascal Behrenbruch,Germany,27,196,94,M,1/19/1985,Athletics,Men's Decathlon,,,,
Pascal Loretan,Switzerland,23,168,66,M,1/20/1989,Shooting,Men's 10m Air Rifle; Men's 50m Rifle Prone,,,,
Patricia Alejandra Bermudez,Argentina,25,150,48,F,02/05/1987,Wrestling,Women's 48kg Freestyle,,,,
Patricia Castaneda Miyamoto,Mexico,22,167,59,F,3/16/1990,Swimming,Women's 800m Freestyle,,,,
Patricia Castro Ortega,Spain,19,178,66,F,08/06/1992,Swimming,Women's 4x200m Freestyle Relay,,,,
Patricia Elorza Eguiara,Spain,28,180,78,F,04/08/1984,Handball,Women's Handball,,,,
Patricia Ferreira,Brazil,33,182,70,F,3/21/1979,Basketball,Women's Basketball,,,,
Patricia Freitas,Brazil,22,172,58,F,03/10/1990,Sailing,Women's RS-X,,,,
Patricia Mamona,Portugal,23,166,61,F,11/21/1988,Athletics,Women's Triple Jump,,,,
Patricia Obee,Canada,20,165,60,F,10/31/1991,Rowing,Women's Lightweight Double Sculls,,,,
Patricia Sarrapio,Spain,29,170,59,F,11/16/1982,Athletics,Women's Triple Jump,,,,
Patricia Taea,Cook Islands,19,164,62,F,5/25/1993,Athletics,Women's 100m,,,,
Patrick Follmann,Germany,23,193,74,M,4/20/1989,Sailing,Men's 470,,,,
Patrick Hausding,Germany,23,180,77,M,03/09/1989,Diving,Men's 3m Springboard; Men's Synchronised 10m Platform,,,,
Patrick Heuscher,Switzerland,35,194,93,M,12/22/1976,Beach Volleyball,Men's Beach Volleyball,,,,
Patrick Loliger Salas,Mexico,27,188,85,M,6/20/1985,Rowing,Men's Single Sculls,,,,
Patrick Mills,Australia,23,180,85,M,08/11/1988,Basketball,Men's Basketball,,,,
Patrick Scheuber,Switzerland,25,182,75,M,12/10/1986,Shooting,Men's 10m Air Pistol,,,,
Patrick Tambwe,France,37,182,68,M,05/05/1975,Athletics,Men's Marathon,,,,
Patrick Tuara,Cook Islands,19,168,79,M,3/22/1993,Athletics,Men's 100m,,,,
Patrick van der Meer,Netherlands,41,187,79,M,3/23/1971,Equestrian,Individual Dressage; UZZO,,,,
Patrick van Luijk,Netherlands,27,189,87,M,9/17/1984,Athletics,Men's 4 x 100m Relay,,,,
